date,asset,level,entry_time,entry_price,direction,hurst_value,hurst_regime,vetoed,veto_reason,expiry_seconds,exit_time,exit_price,price_delta,outcome,net_pl,payout_pct,oteo_score,confidence,market_ready,adx_regime,trend_direction
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,30,1781940615.825,1.16369,-4e-05,win,0.92,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,60,1781940645.861,1.16403,0.0003,loss,-1.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,90,1781940675.882,1.16404,0.00031,loss,-1.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,120,1781940705.902,1.16422,0.00049,loss,-1.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,180,1781940765.961,1.16412,0.00039,loss,-1.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940585.788,1.16373,PUT,0.5,random_walk,False,,300,1781940901.285,1.1647,0.00097,loss,-1.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_HURST,1781940585.788,1.16373,PUT,0.5,random_walk,True,regime_chop,60,1781940645.861,1.16403,0.0003,vetoed,0.0,92.0,66.9,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,15,1781940616.825,1.16368,0.00011,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,30,1781940631.849,1.16384,0.00027,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,60,1781940661.871,1.16408,0.00051,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,90,1781940691.892,1.16401,0.00044,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,120,1781940721.912,1.16417,0.0006,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,180,1781940781.968,1.16401,0.00044,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,300,1781940902.16,1.16471,0.00114,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_HURST,1781940601.78,1.16357,CALL,0.5,random_walk,True,regime_chop,60,1781940661.871,1.16408,0.00051,vetoed,0.0,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,15,1781940616.825,1.16368,0.00011,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,30,1781940631.849,1.16384,0.00027,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,60,1781940661.871,1.16408,0.00051,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,90,1781940691.892,1.16401,0.00044,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,120,1781940721.912,1.16417,0.0006,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,180,1781940781.968,1.16401,0.00044,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940601.78,1.16357,CALL,0.5,random_walk,False,,300,1781940902.16,1.16471,0.00114,win,0.92,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_HURST,1781940601.78,1.16357,CALL,0.5,random_walk,True,regime_chop,60,1781940661.871,1.16408,0.00051,vetoed,0.0,92.0,75.4,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,15,1781940622.311,1.16381,0.00013,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,30,1781940637.338,1.16387,0.00019,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,60,1781940667.377,1.16408,0.0004,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,90,1781940697.396,1.16408,0.0004,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,120,1781940727.417,1.16419,0.00051,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,180,1781940787.489,1.16399,0.00031,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940607.301,1.16368,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00351,loss,-1.0,92.0,80.3,MEDIUM,False,unavailable,flat
