session_id,trade_id,asset,direction,amount,expiration_seconds,entry_time_utc,entry_time_epoch,exit_time_utc,exit_time_epoch,entry_price,exit_price,outcome,profit,payout_pct,strategy_level,confidence,signal_time_epoch,signal_time_drift_seconds,signal_price,signal_oteo_score,signal_base_oteo_score,signal_confidence,signal_manipulation,signal_level2_enabled,signal_level2_score_adjustment,signal_level2_suppressed_reason,signal_level3_enabled,signal_level3_score_adjustment,signal_level3_suppressed_reason,signal_regime_label,signal_regime_confidence,signal_regime_stable,tick_file_verified,tick_file_path
auto_ghost_1781306703,2113b0e3-e40c-4dc5-bb94-dba0dbdedb56,LBPUSD_otc,PUT,20.0,60,2026-06-13 02:10:37 UTC,1781316637.698,2026-06-13 02:11:35 UTC,1781316695.892,1.3851e-05,1.3854e-05,loss,-20.0,85.0,level3,HIGH,1781316637.698,0.0,1.3851e-05,87.6,87.6,HIGH,False,True,4.0,—,False,2.0,—,TREND_PULLBACK,67.0,True,True,app\data\tick_logs\LBPUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,92efcb65-9a5e-4d06-aefa-d1db18a761d6,GBPJPY_otc,CALL,20.0,60,2026-06-13 02:11:28 UTC,1781316688.367,2026-06-13 02:12:26 UTC,1781316746.271,208.509,208.466,loss,-20.0,92.0,level3,HIGH,1781316688.367,0.0,208.509,81.0,81.0,HIGH,True,True,-1.0,—,False,4.1,—,TREND_REVERSAL,81.2,True,True,app\data\tick_logs\GBPJPY_otc\2026-06-13.jsonl
auto_ghost_1781306703,487a9a35-b1b8-4067-a90f-ab193ffd6bd1,AUDUSD_otc,CALL,20.0,60,2026-06-13 02:12:09 UTC,1781316729.926,2026-06-13 02:13:07 UTC,1781316787.041,0.72588,0.72522,loss,-20.0,92.0,level3,HIGH,1781316729.926,0.0,0.72588,86.4,86.4,HIGH,False,True,8.0,—,False,-7.5,—,STRONG_MOMENTUM,62.8,True,True,app\data\tick_logs\AUDUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,e5c92b2f-c9b4-4858-93f9-c2e6c4da4b18,AUDUSD_otc,PUT,20.0,60,2026-06-13 02:19:31 UTC,1781317171.664,2026-06-13 02:20:31 UTC,1781317231.734,0.72569,0.72584,loss,-20.0,92.0,level3,MEDIUM,1781317171.664,0.0,0.72569,81.6,81.6,MEDIUM,False,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\AUDUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,834bb717-1247-46c0-9c4b-00e73c91f81b,CHFJPY_otc,PUT,20.0,60,2026-06-13 02:19:32 UTC,1781317172.666,2026-06-13 02:20:31 UTC,1781317231.734,203.169,203.27,loss,-20.0,92.0,level3,MEDIUM,1781317172.666,0.0,203.169,86.3,86.3,MEDIUM,False,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\CHFJPY_otc\2026-06-13.jsonl
auto_ghost_1781306703,a457b892-61ff-47b0-9023-e85bcc4d4700,GBPAUD_otc,CALL,20.0,60,2026-06-13 02:20:17 UTC,1781317217.711,2026-06-13 02:21:16 UTC,1781317276.856,1.88256,1.88216,loss,-20.0,92.0,level3,MEDIUM,1781317217.711,0.0,1.88256,81.3,81.3,MEDIUM,True,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\GBPAUD_otc\2026-06-13.jsonl
auto_ghost_1781306703,5bb4bddc-73c3-4538-8895-191777b4169e,AUDUSD_otc,CALL,20.0,60,2026-06-13 02:26:28 UTC,1781317588.217,2026-06-13 02:27:25 UTC,1781317645.255,0.72561,0.72537,loss,-20.0,92.0,level3,HIGH,1781317588.217,0.0,0.72561,81.6,81.6,HIGH,False,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\AUDUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,6064e814-6c8a-41b2-aa2d-9bc023f99422,EURNZD_otc,PUT,20.0,60,2026-06-13 02:26:31 UTC,1781317591.72,2026-06-13 02:27:30 UTC,1781317650.218,2.01417,2.01329,win,18.400000000000002,92.0,level3,MEDIUM,1781317591.72,0.0,2.01417,81.2,81.2,MEDIUM,True,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\EURNZD_otc\2026-06-13.jsonl
auto_ghost_1781306703,19cf9720-2e6c-433a-bed4-0c76083c5e7d,GBPAUD_otc,CALL,20.0,60,2026-06-13 02:26:32 UTC,1781317592.221,2026-06-13 02:27:30 UTC,1781317650.218,1.88182,1.88205,win,18.400000000000002,92.0,level3,MEDIUM,1781317592.221,0.0,1.88182,93.1,93.1,MEDIUM,True,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\GBPAUD_otc\2026-06-13.jsonl
auto_ghost_1781306703,0ed9003c-502b-4dcf-b941-f6514695920f,AUDUSD_otc,CALL,20.0,60,2026-06-13 02:32:57 UTC,1781317977.976,2026-06-13 02:33:54 UTC,1781318034.076,0.72472,0.72499,win,18.400000000000002,92.0,level3,HIGH,1781317977.976,0.0,0.72472,96.2,96.2,HIGH,False,True,3.0,—,False,2.5,—,RANGE_BOUND,91.5,False,True,app\data\tick_logs\AUDUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,7968fd0f-dcad-49e3-96b5-c95ed15e0600,CADCHF_otc,CALL,20.0,60,2026-06-13 02:33:11 UTC,1781317991.485,2026-06-13 02:34:09 UTC,1781318049.086,0.62221,0.62387,win,18.400000000000002,92.0,level3,MEDIUM,1781317991.485,0.0,0.62221,86.9,86.9,MEDIUM,True,True,15.0,—,False,-12.0,—,STRONG_MOMENTUM,100.0,True,True,app\data\tick_logs\CADCHF_otc\2026-06-13.jsonl
auto_ghost_1781306703,3739a071-a13e-46f0-9a37-977ee07c3cf1,GBPAUD_otc,PUT,20.0,60,2026-06-13 02:33:23 UTC,1781318003.073,2026-06-13 02:34:19 UTC,1781318059.594,1.88292,1.88283,win,18.400000000000002,92.0,level3,MEDIUM,1781318003.073,0.0,1.88292,84.7,84.7,MEDIUM,True,True,19.0,—,False,-15.0,—,STRONG_MOMENTUM,100.0,False,True,app\data\tick_logs\GBPAUD_otc\2026-06-13.jsonl
auto_ghost_1781306703,105d2f17-b5bb-4e90-98f2-05f8bad85d4b,GBPAUD_otc,PUT,20.0,60,2026-06-13 02:39:30 UTC,1781318370.239,2026-06-13 02:40:27 UTC,1781318427.48,1.8838,1.8837,win,18.400000000000002,92.0,level3,HIGH,1781318370.239,0.0,1.8838,92.1,92.1,HIGH,False,True,19.0,—,False,-7.9,—,STRONG_MOMENTUM,99.4,True,True,app\data\tick_logs\GBPAUD_otc\2026-06-13.jsonl
auto_ghost_1781306703,686a0f58-32ae-49b6-8c7c-f42c5ace4d2f,AUDUSD_otc,CALL,20.0,60,2026-06-13 02:39:44 UTC,1781318384.319,2026-06-13 02:40:42 UTC,1781318442.491,0.72462,0.72432,loss,-20.0,92.0,level3,HIGH,1781318384.319,0.0,0.72462,97.9,97.9,HIGH,False,True,8.0,—,False,8.3,—,RANGE_BOUND,71.4,True,True,app\data\tick_logs\AUDUSD_otc\2026-06-13.jsonl
auto_ghost_1781306703,cff49f84-9933-4c28-8124-fe237258c3c9,GBPAUD_otc,PUT,20.0,60,2026-06-13 02:45:48 UTC,1781318748.462,2026-06-13 02:46:46 UTC,1781318806.531,1.88571,1.88552,win,18.400000000000002,92.0,level3,HIGH,1781318748.462,0.0,1.88571,95.2,95.2,HIGH,True,True,10.0,—,False,6.0,—,TREND_REVERSAL,100.0,False,True,app\data\tick_logs\GBPAUD_otc\2026-06-13.jsonl
auto_ghost_1781306703,f57584d0-bd60-4d15-a572-cae847294071,GBPUSD_otc,PUT,20.0,60,2026-06-13 02:46:28 UTC,1781318788.02,2026-06-13 02:47:27 UTC,1781318847.101,1.32325,1.3227,win,18.400000000000002,92.0,level3,MEDIUM,1781318788.02,0.0,1.32325,96.4,96.4,MEDIUM,False,True,0.0,—,False,0.0,—,—,—,—,True,app\data\tick_logs\GBPUSD_otc\2026-06-13.jsonl
